Ángulo del crista	Tasa con 23kV	Tasa con 25kV	Tasa con 27kV	Tasa con 29kV	Tasa con 31kV	Tasa con 33kV	Tasa con 35kV
theta/°	R(23kV)/Imp/s	R(25kV)/Imp/s	R(27kV)/Imp/s	R(29kV)/Imp/s	R(31kV)/Imp/s	R(33kV)/Imp/s	R(35kV)/Imp/s

14,0	1,0	2,0	4,0	11,0	4,0	5,0	12,0
14,1	3,0	5,0	5,0	4,0	7,0	9,0	10,0
14,2	5,0	3,0	5,0	5,0	6,0	5,0	11,0
14,3	3,0	5,0	6,0	6,0	7,0	8,0	6,0
14,4	5,0	4,0	6,0	4,0	10,0	6,0	15,0
14,5	5,0	3,0	5,0	9,0	8,0	9,0	10,0
14,6	2,0	5,0	9,0	5,0	7,0	16,0	12,0
14,7	3,0	4,0	9,0	8,0	11,0	12,0	13,0
14,8	4,0	7,0	8,0	10,0	8,0	9,0	10,0
14,9	4,0	5,0	7,0	10,0	6,0	11,0	10,0
15,0	2,0	4,0	7,0	8,0	6,0	11,0	10,0
15,1	2,0	6,0	6,0	3,0	7,0	9,0	10,0
15,2	3,0	4,0	6,0	7,0	9,0	9,0	13,0
15,3	2,0	4,0	4,0	5,0	10,0	10,0	8,0
15,4	3,0	3,0	5,0	6,0	4,0	10,0	9,0
15,5	2,0	2,0	4,0	6,0	8,0	6,0	13,0
15,6	1,0	6,0	3,0	3,0	6,0	6,0	10,0
15,7	4,0	2,0	3,0	5,0	11,0	5,0	10,0
15,8	3,0	4,0	3,0	6,0	8,0	8,0	7,0
15,9	3,0	6,0	2,0	6,0	5,0	10,0	10,0
16,0	3,0	3,0	4,0	4,0	7,0	6,0	9,0
16,1	5,0	3,0	5,0	2,0	8,0	8,0	10,0
16,2	2,0	4,0	4,0	4,0	6,0	9,0	12,0
16,3	4,0	4,0	4,0	5,0	5,0	9,0	6,0
16,4	3,0	2,0	5,0	4,0	7,0	10,0	15,0
16,5	4,0	4,0	4,0	7,0	9,0	11,0	8,0
