Ángulo del crista;Tasa con 35kV
theta/°;R(35kV)/Imp/s
;
15;389
15,1;384
15,2;389
15,3;370
15,4;387
15,5;396
15,6;394
15,7;393
15,8;365
15,9;388
16;383
16,1;384
16,2;363
16,3;377
16,4;370
16,5;377
16,6;349
16,7;383
16,8;395
16,9;387
17;404
17,1;361
17,2;373
17,3;393
17,4;392
17,5;377
17,6;355
17,7;379
17,8;391
17,9;386
18;397
18,1;484
18,2;830
18,3;1139
18,4;2235
18,5;2174
18,6;1194
18,7;566
18,8;506
18,9;494
19;467
19,1;442
19,2;430
19,3;421
19,4;399
19,5;408
19,6;404
19,7;422
19,8;410
19,9;432
20;441
20,1;475
20,2;518
20,3;570
20,4;909
20,5;2429
20,6;5489
20,7;8592
20,8;8485
20,9;2861
21;777
21,1;616
21,2;551
21,3;508
21,4;412
21,5;379
21,6;372
21,7;341
21,8;333
21,9;331
22;341
22,1;342
22,2;328
22,3;335
22,4;329
22,5;332
22,6;318
22,7;321
22,8;315
22,9;297
23;290
